S,Brand,Model,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price
1654,Maruti,Maruti Baleno Delta,Delhi,2017,44000,Petrol,Automatic,First,21.4,1197,83.1,5,6.2
1655,Hyundai,Hyundai Accent GLE,Kolkata,2005,45200,Petrol,Manual,First,13.2,1495,94.0,5,0.9
1656,Maruti,Maruti Ritz LXi,Mumbai,2016,11000,Petrol,Manual,First,18.5,1197,85.8,5,3.95
1657,Tata,Tata Nano Lx,Pune,2011,65000,Petrol,Manual,Second,26.0,624,35.0,4,0.44
1658,Ford,Ford Figo ,Ahmedabad,2012,55005,Diesel,Manual,First,20.0,1399,68.0,5,2.75
1659,Volkswagen,Volkswagen Passat ,Hyderabad,2011,81650,Diesel,Automatic,First,18.33,1968,167.7,5,7.5
1660,Fiat,Fiat Linea Emotion,Chennai,2010,160000,Diesel,Manual,Second,19.0,1248,93.0,5,2.5
1661,Mahindra,Mahindra Xylo D4,Hyderabad,2015,169000,Diesel,Manual,First,14.95,2489,93.7,7,5.0
1662,Maruti,Maruti Wagon R,Hyderabad,2013,67263,Petrol,Manual,First,18.9,998,67.1,5,3.6
1663,Toyota,Toyota Etios G,Kochi,2012,44223,Petrol,Manual,First,17.6,1496,88.7,5,3.99
1664,Hyundai,Hyundai Grand i10,Coimbatore,2015,36840,Petrol,Manual,First,18.9,1197,82.0,5,5.64
1665,Toyota,Toyota Innova 2.5,Pune,2014,160000,Diesel,Manual,First,12.99,2494,100.0,8,12.0
1666,Tata,Tata Indica V2,Kolkata,2008,133000,Diesel,Manual,First,16.8,1405,62.0,5,0.7
1667,BMW,BMW 3 Series,Mumbai,2015,69123,Diesel,Automatic,First,18.88,1995,184.0,5,19.0
1668,Ford,Ford Endeavour 3.2,Delhi,2017,38000,Diesel,Automatic,First,10.91,3198,197.0,7,30.48
1669,Maruti,Maruti Ciaz Zeta,Mumbai,2017,5500,Petrol,Manual,First,21.56,1462,103.25,5,8.2
1670,Ford,Ford Figo 1.5D,Kolkata,2015,1001,Diesel,Manual,First,25.83,1498,99.0,5,7.55
1671,Chevrolet,Chevrolet Aveo U-VA,Pune,2007,59000,Petrol,Manual,Third,15.26,1150,74.9,5,0.99
1672,Honda,Honda City 1.5,Delhi,2011,78256,Petrol,Automatic,First,16.8,1497,118.0,5,4.15
1673,Nissan,Nissan Sunny XL,Chennai,2016,90000,Petrol,Manual,First,16.95,1498,97.6,5,6.2
1674,Maruti,Maruti Swift Dzire,Kolkata,2016,18000,Petrol,Manual,First,19.1,1197,85.8,5,4.4
1675,Ford,Ford Figo ,Kolkata,2012,60000,Diesel,Manual,First,20.0,1399,68.0,5,2.1
1676,Fiat,Fiat Grande Punto,Jaipur,2011,130000,Diesel,Manual,First,20.3,1248,75.0,5,2.2
1677,Hyundai,Hyundai Elite i20,Coimbatore,2018,32851,Petrol,Manual,First,18.6,1197,81.86,5,8.34
1678,Maruti,Maruti Swift Dzire,Kolkata,2014,32000,Diesel,Manual,First,23.4,1248,74.0,5,4.35
1679,Ford,Ford Ecosport 1.5,Hyderabad,2014,62700,Diesel,Manual,First,22.7,1498,89.84,5,6.8
1680,Maruti,Maruti Swift Dzire,Jaipur,2010,71000,Diesel,Manual,First,19.3,1248,73.9,5,3.3
1681,Hyundai,Hyundai Grand i10,Kochi,2016,19947,Petrol,Manual,First,18.9,1197,82.0,5,5.04
1682,Ford,Ford Endeavour 3.0L,Hyderabad,2012,91000,Diesel,Automatic,First,11.4,2953,153.86,7,9.2
1683,Volkswagen,Volkswagen Polo ,Hyderabad,2014,74000,Diesel,Manual,First,22.07,1199,73.9,5,5.7
1684,Mahindra,Mahindra TUV 300,Kochi,2018,55594,Diesel,Manual,First,18.49,1493,100.0,7,8.48
1685,BMW,BMW X6 xDrive,Hyderabad,2013,58000,Diesel,Automatic,First,11.2,2993,306.0,4,48.0
1686,Renault,Renault Duster 110PS,Hyderabad,2012,110224,Diesel,Manual,First,19.01,1461,108.45,5,6.1
1687,Maruti,Maruti Wagon R,Ahmedabad,2010,21002,Petrol,Manual,First,22.5,998,67.04,5,2.75
1688,Maruti,Maruti Ertiga SHVS,Pune,2017,121000,Diesel,Manual,First,24.52,1248,88.5,7,8.0
1689,Maruti,Maruti Alto LXi,Jaipur,2010,73513,Petrol,Manual,First,19.7,796,46.3,5,1.85
1690,Maruti,Maruti Wagon R,Jaipur,2015,34000,Petrol,Automatic,First,20.51,998,67.0,5,3.85
1691,Maruti,Maruti Eeco 7,Coimbatore,2017,28371,Petrol,Manual,First,15.1,1196,73.0,7,4.74
1692,Renault,Renault Duster 110PS,Kochi,2013,74755,Diesel,Manual,First,19.6,1461,108.45,5,5.63
1693,Maruti,Maruti Zen Estilo,Kochi,2011,25805,Petrol,Manual,First,18.2,1061,64.0,5,2.62
1694,Renault,Renault Duster ,Kochi,2015,82603,Petrol,Manual,First,13.06,1598,102.53,5,4.9
1695,Honda,Honda Civic 2006-2010,Chennai,2006,110000,Petrol,Manual,First,13.5,1799,130.0,5,2.65
1696,Mahindra,Mahindra XUV500 W8,Delhi,2012,88000,Diesel,Manual,First,16.0,2179,140.0,7,5.99
1697,Mahindra,Mahindra Verito 1.5,Chennai,2011,110000,Diesel,Manual,Second,21.0,1461,64.1,5,2.4
1698,Renault,Renault KWID Climber,Delhi,2017,15000,Petrol,Manual,First,21.7,999,67.0,5,4.25
1699,Porsche,Porsche Cayenne ,Mumbai,2013,70000,Diesel,Automatic,First,15.15,2967,240.0,5,40.0
1700,Maruti,Maruti Swift DDiS,Pune,2008,150000,Diesel,Manual,Second,28.4,1248,74.0,5,2.7
1701,Datsun,Datsun GO T,Hyderabad,2016,19000,Petrol,Manual,First,20.63,1198,67.0,5,2.99
1702,Hyundai,Hyundai i20 1.2,Chennai,2011,37442,Petrol,Manual,First,18.5,1197,80.0,5,3.4
1703,BMW,BMW 5 Series,Coimbatore,2016,63111,Diesel,Automatic,Second,18.12,1995,190.0,5,30.8
1704,Maruti,Maruti Ertiga ZDI,Mumbai,2012,88000,Diesel,Manual,First,20.77,1248,88.8,7,5.85
1705,Hyundai,Hyundai Grand i10,Jaipur,2014,42355,Petrol,Manual,First,18.9,1197,82.0,5,4.0
1706,BMW,BMW 3 Series,Coimbatore,2011,75871,Petrol,Automatic,First,9.43,2996,254.0,5,14.12
1707,Chevrolet,Chevrolet Cruze LTZ,Mumbai,2011,65000,Diesel,Manual,First,17.9,1998,163.7,5,4.55
1708,Maruti,Maruti Ritz LDi,Jaipur,2011,79232,Diesel,Manual,First,21.1,1248,73.9,5,2.9
1709,Mercedes-Benz,Mercedes-Benz New C-Class,Pune,2007,220000,Petrol,Automatic,Second,11.74,1796,186.0,5,6.0
1710,Hyundai,Hyundai i20 1.2,Kochi,2016,28470,Petrol,Manual,First,18.6,1197,81.83,5,6.95
1711,Hyundai,Hyundai EON 1.0,Kolkata,2014,9759,Petrol,Manual,First,20.3,998,68.05,5,2.75
1712,Maruti,Maruti Swift VDI,Pune,2014,75216,Diesel,Manual,First,22.9,1248,74.0,5,5.1
1713,Hyundai,Hyundai i20 Sportz,Chennai,2017,8000,Petrol,Manual,First,18.6,1197,81.83,5,6.75
1714,Maruti,Maruti Ritz ZXi,Mumbai,2014,59451,Petrol,Manual,First,18.5,1197,85.8,5,3.69
1715,Maruti,Maruti Swift VDI,Hyderabad,2013,53996,Diesel,Manual,First,22.9,1248,74.0,5,5.45
1716,Honda,Honda WRV i-VTEC,Kochi,2018,15135,Petrol,Manual,First,17.5,1199,88.7,5,9.29
1717,Hyundai,Hyundai Xcent 1.2,Chennai,2015,53000,Petrol,Automatic,Second,16.9,1197,81.86,5,4.0
1718,Honda,Honda Amaze E,Kolkata,2013,40000,Petrol,Manual,First,18.0,1198,86.7,5,2.9
1719,Hyundai,Hyundai Verna 1.6,Pune,2013,21107,Petrol,Manual,First,17.1,1591,121.3,5,5.25
1720,Honda,Honda City V,Mumbai,2014,56000,Petrol,Manual,First,16.8,1497,116.3,5,5.75
1721,Hyundai,Hyundai Creta 1.6,Coimbatore,2017,19623,Petrol,Manual,First,15.29,1591,121.3,5,13.12
1722,Mahindra,Mahindra XUV500 W8,Kochi,2014,70963,Diesel,Manual,First,15.1,2179,140.0,7,7.83
1723,Maruti,Maruti Wagon R,Mumbai,2013,25755,CNG,Manual,First,26.6,998,58.16,5,3.15
1724,Toyota,Toyota Innova 2.5,Mumbai,2013,51450,Diesel,Manual,First,12.8,2494,102.0,7,10.4
1725,Maruti,Maruti Swift VDI,Pune,2012,75000,Diesel,Manual,First,22.9,1248,74.0,5,4.35
1726,Maruti,Maruti Wagon R,Coimbatore,2017,37832,Petrol,Automatic,First,22.5,998,67.0,5,5.23
1727,Hyundai,Hyundai Grand i10,Coimbatore,2016,43041,Petrol,Manual,First,18.9,1197,81.86,5,6.01
1728,Honda,Honda Amaze VX,Hyderabad,2014,97236,Diesel,Manual,First,25.8,1498,98.6,5,4.4
1729,BMW,BMW 3 Series,Chennai,2010,83000,Diesel,Automatic,First,16.07,1995,181.0,5,12.75
1730,Ford,Ford Figo ,Delhi,2011,65000,Petrol,Manual,First,15.6,1196,70.0,5,2.4
1731,Volkswagen,Volkswagen Ameo 1.2,Kochi,2018,46007,Petrol,Manual,First,17.0,1198,73.75,5,5.71
1732,Ford,Ford Ecosport 1.5,Kochi,2015,65925,Diesel,Manual,Second,22.7,1498,89.84,5,5.49
1733,Honda,Honda City 1.3,Pune,2004,73500,Petrol,Manual,Second,13.0,1343,90.0,5,1.3
1734,Mahindra,Mahindra XUV500 W6,Kolkata,2014,55000,Diesel,Manual,First,16.0,2179,140.0,7,8.5
1735,Toyota,Toyota Fortuner 4x2,Delhi,2012,115000,Diesel,Manual,First,13.0,2982,168.5,7,12.99
1736,Hyundai,Hyundai Grand i10,Kolkata,2017,31184,Petrol,Manual,First,18.9,1197,81.86,5,5.0
1737,Maruti,Maruti Dzire AMT,Pune,2017,41747,Diesel,Automatic,First,28.4,1248,73.75,5,9.0
1738,Maruti,Maruti Swift VDI,Kochi,2016,38143,Diesel,Manual,First,22.9,1248,74.0,5,5.22
1739,Volkswagen,Volkswagen Polo ,Pune,2012,19030,Petrol,Manual,First,16.47,1198,73.9,5,3.8
1740,Toyota,Toyota Etios Liva,Coimbatore,2019,20877,Petrol,Manual,First,18.16,1197,78.9,5,7.27
1741,Maruti,Maruti Swift VXI,Mumbai,2016,23555,Petrol,Manual,First,22.0,1197,81.8,5,5.1
1742,Mercedes-Benz,Mercedes-Benz E-Class 2009-2013,Bangalore,2013,29000,Diesel,Automatic,First,14.21,2143,203.0,5,29.0
1743,Maruti,Maruti Wagon R,Pune,2013,61000,Petrol,Manual,First,18.9,998,67.1,5,2.9
1744,Tata,Tata Nano Lx,Kochi,2012,4187,Petrol,Manual,First,26.0,624,35.0,4,1.38
1745,Skoda,Skoda Laura 1.8,Bangalore,2011,46000,Petrol,Manual,First,13.4,1798,157.8,5,5.5
1746,Volkswagen,Volkswagen Polo GT,Mumbai,2016,28000,Petrol,Automatic,First,17.21,1197,103.5,5,7.25
1747,Hyundai,Hyundai Verna 1.6,Coimbatore,2014,83558,Diesel,Manual,First,22.32,1582,126.32,5,6.98
1748,Tata,Tata Bolt Quadrajet,Hyderabad,2017,40000,Diesel,Manual,First,22.95,1248,74.0,5,5.25
1749,Hyundai,Hyundai EON D,Kolkata,2013,36000,Petrol,Manual,First,21.1,814,55.2,5,1.95
1750,Audi,Audi A4 2.0,Bangalore,2014,21000,Diesel,Automatic,First,17.11,1968,174.33,5,24.5
1751,Toyota,Toyota Innova 2.5,Kochi,2013,62162,Diesel,Manual,First,12.99,2494,100.0,7,8.31
1752,Mercedes-Benz,Mercedes-Benz M-Class ML,Hyderabad,2012,83000,Diesel,Automatic,First,11.74,2987,254.8,5,36.0
1753,Hyundai,Hyundai Xcent 1.1,Pune,2015,58000,Diesel,Manual,First,24.4,1120,71.0,5,5.5
1754,Honda,Honda Accord 2.4,Kochi,2011,62332,Petrol,Automatic,First,11.7,2354,177.6,5,5.89
1755,Volkswagen,Volkswagen Vento 1.5,Kochi,2016,50867,Diesel,Manual,First,20.34,1498,103.2,5,7.95
1756,Hyundai,Hyundai i20 Sportz,Mumbai,2010,73000,Petrol,Manual,First,17.0,1197,80.0,5,2.75
1757,Hyundai,Hyundai Elantra CRDi,Jaipur,2012,98008,Diesel,Manual,First,22.7,1582,126.24,5,6.25
1758,Ford,Ford Figo ,Hyderabad,2015,36000,Diesel,Manual,First,20.0,1399,68.05,5,4.95
1759,Hyundai,Hyundai i20 1.2,Kochi,2019,27339,Petrol,Manual,First,18.6,1197,81.83,5,6.27
1760,Hyundai,Hyundai Verna 1.6,Kolkata,2017,25000,Diesel,Manual,First,23.9,1582,126.2,5,8.65
1761,Hyundai,Hyundai Grand i10,Kolkata,2014,37000,Petrol,Manual,First,18.9,1197,82.0,5,3.5
1762,Audi,Audi Q5 2.0,Hyderabad,2015,56000,Diesel,Automatic,First,14.16,1968,174.3,5,35.0
1763,Maruti,Maruti Swift Dzire,Kolkata,2015,27000,Petrol,Manual,First,17.5,1298,85.8,5,4.45
1764,Hyundai,Hyundai i20 Magna,Kolkata,2012,37000,Petrol,Manual,First,18.5,1197,80.0,5,2.65
1765,Mahindra,Mahindra KUV 100,Kolkata,2017,10500,Diesel,Manual,First,25.32,1198,77.0,5,4.7
1766,Hyundai,Hyundai Elantra 1.6,Ahmedabad,2014,49000,Diesel,Automatic,First,18.23,1582,126.2,5,8.9
1767,Jeep,Jeep Compass 2.0,Mumbai,2017,7000,Diesel,Manual,First,17.1,1956,170.0,5,17.45
1768,Maruti,Maruti Vitara Brezza,Coimbatore,2017,71256,Diesel,Manual,First,24.3,1248,88.5,5,9.58
1769,Toyota,Toyota Corolla Altis,Kochi,2012,83184,Petrol,Manual,First,14.28,1798,138.03,5,6.22
1770,Mahindra,Mahindra XUV500 W8,Kolkata,2013,87284,Diesel,Manual,First,15.1,2179,140.0,7,7.8
1771,BMW,BMW X1 xDrive,Mumbai,2016,7000,Diesel,Automatic,First,20.68,1995,190.0,5,27.75
1772,Hyundai,Hyundai i20 Magna,Pune,2015,29000,Diesel,Manual,Second,22.54,1396,88.73,5,7.0
1773,Mercedes-Benz,Mercedes-Benz GLE 350d,Coimbatore,2017,33552,Diesel,Automatic,First,11.57,2987,254.79,5,64.87
1774,Chevrolet,Chevrolet Cruze LTZ,Bangalore,2013,64000,Diesel,Manual,Second,17.3,1998,163.7,5,6.5
1775,Hyundai,Hyundai i20 1.2,Jaipur,2011,82000,Petrol,Manual,Second,18.5,1197,80.0,5,2.7
1776,Honda,Honda Brio S,Mumbai,2012,70000,Petrol,Manual,Second,19.4,1198,86.8,5,2.5
1777,Nissan,Nissan Evalia 2013,Hyderabad,2013,166194,Diesel,Manual,First,19.3,1461,84.8,7,3.9
1778,Volkswagen,Volkswagen Polo ,Delhi,2015,58000,Petrol,Manual,First,16.47,1198,73.9,5,3.95
1779,Hyundai,Hyundai i10 Sportz,Chennai,2010,77000,Petrol,Manual,Second,20.36,1197,78.9,5,2.1
1780,Chevrolet,Chevrolet Cruze LTZ,Pune,2009,73204,Diesel,Automatic,Third,18.1,1991,147.9,4,3.5
1781,Hyundai,Hyundai i10 Era,Hyderabad,2007,70000,Petrol,Manual,Second,19.81,1086,68.05,5,2.0
1782,Maruti,Maruti Ertiga VDI,Delhi,2014,79870,Diesel,Manual,First,20.77,1248,88.76,7,5.35
1783,Honda,Honda Amaze S,Delhi,2013,90000,Diesel,Manual,First,25.8,1498,98.6,5,3.8
1784,Mercedes-Benz,Mercedes-Benz A Class,Mumbai,2016,17000,Petrol,Automatic,First,15.5,1595,122.0,5,17.25
1785,Hyundai,Hyundai Grand i10,Kochi,2018,46493,Petrol,Manual,First,18.9,1197,81.86,5,5.53
1786,Hyundai,Hyundai i10 Sportz,Pune,2009,68000,Petrol,Manual,Third,20.36,1197,78.9,5,1.95
1787,Maruti,Maruti Swift DDiS,Hyderabad,2017,2000,Diesel,Manual,First,28.4,1248,74.0,5,8.2
1788,Honda,Honda City 1.3,Pune,1999,140000,Petrol,Manual,First,13.0,1343,90.0,5,0.9
1789,Toyota,Toyota Innova 2.5,Pune,2013,255000,Diesel,Manual,Third,12.99,2494,100.6,7,6.5
1790,Mini,Mini Cooper Countryman,Coimbatore,2014,45535,Diesel,Automatic,First,23.8,1998,112.0,5,19.41
1791,Fiat,Fiat Linea T-Jet,Coimbatore,2016,39228,Petrol,Manual,First,15.7,1368,112.4,5,6.58
1792,Chevrolet,Chevrolet Aveo 1.4,Mumbai,2011,57000,Petrol,Manual,Second,14.49,1399,92.7,5,2.1
1793,Hyundai,Hyundai i10 Era,Chennai,2008,85445,Petrol,Manual,Second,19.81,1086,68.05,5,2.0
1794,Hyundai,Hyundai Xcent 1.1,Delhi,2015,54000,Diesel,Manual,First,24.4,1120,71.0,5,3.7
1795,Maruti,Maruti Celerio VXI,Mumbai,2014,53000,Petrol,Automatic,First,23.1,998,67.04,5,3.8
1796,Hyundai,Hyundai i10 Sportz,Jaipur,2014,60000,Petrol,Manual,First,20.36,1197,78.9,5,3.25
1797,Renault,Renault Duster 85PS,Coimbatore,2015,65668,Diesel,Manual,First,19.87,1461,83.8,5,5.53
1798,BMW,BMW 3 Series,Ahmedabad,2011,100000,Diesel,Automatic,Second,22.69,1995,190.0,5,10.9
1799,Hyundai,Hyundai Grand i10,Kolkata,2018,1800,Petrol,Manual,First,18.9,1197,82.0,5,5.1
1800,Chevrolet,Chevrolet Spark 1.0,Pune,2009,44200,Petrol,Manual,Second,18.0,995,62.0,5,1.6
1801,Honda,Honda City i,Ahmedabad,2018,14000,Petrol,Manual,First,17.4,1497,117.3,5,11.25
1802,Volkswagen,Volkswagen Vento ,Chennai,2013,720000,Diesel,Manual,First,20.54,1598,103.6,5,5.9
1803,Toyota,Toyota Fortuner 4x2,Delhi,2012,73000,Diesel,Automatic,First,11.5,2982,169.0,7,14.4
1804,Honda,Honda City 1.5,Delhi,2011,68000,Petrol,Manual,First,17.0,1497,118.0,5,3.6
1805,BMW,BMW 5 Series,Jaipur,2017,19543,Diesel,Automatic,First,18.12,1995,190.0,5,40.5
1806,Audi,Audi Q5 30,Bangalore,2014,38000,Diesel,Automatic,Second,14.16,1968,174.3,5,38.95
1807,Maruti,Maruti Ritz LDi,Delhi,2014,32805,Diesel,Manual,First,23.2,1248,73.94,5,3.6
1808,Volkswagen,Volkswagen Vento 1.5,Kochi,2016,44782,Diesel,Automatic,First,21.21,1498,103.2,5,7.12
1809,Honda,Honda City i,Kochi,2016,55700,Diesel,Manual,First,26.0,1498,98.6,5,7.52
1810,Audi,Audi A4 New,Delhi,2012,60000,Diesel,Automatic,Second,15.2,1968,140.8,5,10.35
1811,Skoda,Skoda Rapid 1.6,Hyderabad,2014,56000,Petrol,Manual,First,15.0,1598,103.52,5,7.0
1812,Toyota,Toyota Fortuner 3.0,Delhi,2011,60000,Diesel,Manual,First,11.5,2982,171.0,7,10.85
1813,Chevrolet,Chevrolet Optra Magnum,Mumbai,2010,78563,Diesel,Manual,First,16.52,1991,123.7,5,2.35
1814,Maruti,Maruti Eeco 7,Mumbai,2014,34669,Petrol,Manual,First,15.1,1196,73.0,7,2.9
1815,Maruti,Maruti Ciaz ZXi,Delhi,2017,17000,Petrol,Manual,First,20.73,1373,91.1,5,7.65
1816,Maruti,Maruti Ciaz VDi,Delhi,2016,66000,Diesel,Manual,First,28.09,1248,88.5,5,6.4
1817,Toyota,Toyota Innova 2.5,Pune,2014,102418,Diesel,Manual,First,12.99,2494,100.6,7,10.1
1818,Maruti,Maruti Swift Dzire,Kolkata,2014,48800,Petrol,Manual,First,19.1,1197,85.8,5,4.25
1819,Toyota,Toyota Innova Crysta,Kochi,2019,10601,Diesel,Automatic,First,11.36,2755,171.5,7,19.65
1820,Tata,Tata Indica V2,Pune,2017,8200,Diesel,Manual,First,25.0,1396,69.0,5,4.4
1821,Hyundai,Hyundai i20 Magna,Jaipur,2012,100000,Petrol,Manual,First,18.5,1197,82.85,5,3.25
1822,Ford,Ford Fiesta 1.4,Pune,2012,78000,Diesel,Manual,First,17.8,1399,68.0,5,2.8
1823,Chevrolet,Chevrolet Enjoy 1.3,Kolkata,2015,50000,Diesel,Manual,First,18.2,1248,73.74,8,4.3
1824,Ford,Ford Fiesta 1.4,Chennai,2006,89327,Diesel,Manual,Third,17.8,1399,68.0,5,1.55
1825,Honda,Honda CR-V 2.4,Chennai,2007,98000,Petrol,Manual,Second,10.8,2354,152.0,5,4.7
1826,Honda,Honda Jazz 1.2,Kochi,2017,24700,Petrol,Manual,First,18.7,1199,88.7,5,7.07
1827,Mercedes-Benz,Mercedes-Benz GLS 350d,Delhi,2018,6000,Diesel,Automatic,First,11.0,2987,258.0,7,79.0
1828,Hyundai,Hyundai Grand i10,Delhi,2018,9434,Petrol,Manual,First,18.9,1197,81.86,5,5.75
1829,Maruti,Maruti Ritz VXi,Mumbai,2012,29000,Petrol,Manual,First,18.5,1197,85.8,5,3.25
1830,Volkswagen,Volkswagen Ameo 1.5,Coimbatore,2017,22440,Diesel,Automatic,First,22.0,1498,108.495,5,8.89
1831,Honda,Honda City i,Mumbai,2015,73070,Petrol,Manual,First,17.4,1497,117.3,5,5.9
1832,Honda,Honda Jazz 1.2,Kolkata,2016,21771,Petrol,Manual,First,18.7,1199,88.7,5,4.95
1833,Maruti,Maruti Swift Ldi,Delhi,2014,62000,Diesel,Manual,First,17.8,1248,75.0,5,3.75
1834,Hyundai,Hyundai Creta 1.6,Kochi,2017,37024,Diesel,Automatic,First,17.01,1582,126.2,5,10.97
1835,Audi,Audi A7 2011-2015,Kochi,2014,60336,Diesel,Automatic,Second,14.4,2967,241.4,5,24.94
1836,Hyundai,Hyundai EON D,Kolkata,2014,26008,Petrol,Manual,First,21.1,814,55.2,5,1.97
1837,Ford,Ford Figo ,Jaipur,2010,90000,Diesel,Manual,Second,20.0,1399,68.0,5,1.4
1838,Volkswagen,Volkswagen Ameo 1.2,Coimbatore,2018,35569,Petrol,Manual,First,17.0,1198,73.75,5,7.27
1839,Renault,Renault Scala ,Kolkata,2013,40000,Diesel,Manual,First,21.64,1461,84.8,5,4.0
1840,Honda,Honda Jazz 1.2,Kolkata,2015,45000,Petrol,Manual,First,18.7,1199,88.7,5,4.75
1841,Hyundai,Hyundai i20 1.2,Delhi,2015,42000,Petrol,Manual,First,17.0,1197,80.0,5,5.1
1842,Audi,Audi A4 3.0,Coimbatore,2012,46913,Diesel,Automatic,First,14.94,2967,241.4,5,16.11
1843,Mahindra,Mahindra Ssangyong Rexton,Delhi,2014,62000,Diesel,Automatic,First,11.18,2696,184.0,7,10.55
1844,Toyota,Toyota Fortuner 2.8,Ahmedabad,2017,15000,Diesel,Automatic,First,12.9,2755,174.5,7,30.0
1845,Skoda,Skoda Octavia Classic,Kolkata,2002,69000,Diesel,Manual,First,18.7,1896,66.0,5,1.6
1846,Mercedes-Benz,Mercedes-Benz New C-Class,Hyderabad,2012,41367,Diesel,Automatic,First,15.8,2148,170.0,5,18.49
1847,Maruti,Maruti Ciaz 1.4,Kochi,2018,15982,Petrol,Manual,First,20.73,1373,91.1,5,9.96
1848,Maruti,Maruti Swift ZDi,Hyderabad,2013,99595,Diesel,Manual,Second,22.9,1248,74.0,5,4.75
1849,Toyota,Toyota Qualis FS,Bangalore,2002,63000,Diesel,Manual,Third,13.1,2446,75.0,10,3.65
1850,BMW,BMW 5 Series,Delhi,2012,49000,Diesel,Automatic,Second,16.73,2495,218.0,5,15.5
1851,Mitsubishi,Mitsubishi Pajero 2.8,Kochi,2013,48272,Diesel,Manual,First,10.5,2835,116.9,6,11.82
1852,Toyota,Toyota Corolla H2,Delhi,2008,63000,Petrol,Manual,First,13.4,1794,125.0,5,2.05
1853,Maruti,Maruti Wagon R,Ahmedabad,2016,77000,CNG,Manual,First,26.6,998,58.16,5,3.3
1854,Maruti,Maruti Omni E,Mumbai,2013,11734,Petrol,Manual,First,16.8,796,34.2,8,2.25
1855,Audi,Audi A6 2011-2015,Kochi,2014,62012,Diesel,Automatic,First,17.68,1968,174.33,5,20.12
1856,Hyundai,Hyundai Xcent 1.2,Chennai,2017,46000,CNG,Manual,First,25.0,1197,81.86,5,4.95
1857,Honda,Honda Jazz 1.5,Coimbatore,2016,45449,Diesel,Manual,First,27.3,1498,98.6,5,7.48
1858,Mercedes-Benz,Mercedes-Benz E-Class 200,Mumbai,2004,85000,Petrol,Automatic,Second,10.5,1796,157.7,5,5.5
1859,Audi,Audi A4 2.0,Kochi,2013,45330,Diesel,Automatic,First,16.55,1968,147.51,5,13.19
1860,Maruti,Maruti Swift Dzire,Mumbai,2012,88000,Petrol,Manual,First,19.1,1197,85.8,5,3.85
1861,Maruti,Maruti Dzire VDI,Delhi,2016,45376,Diesel,Manual,First,28.4,1248,73.75,5,5.75
1862,Mahindra,Mahindra XUV500 W8,Pune,2014,81000,Diesel,Manual,First,15.1,2179,140.0,7,9.0
1863,Chevrolet,Chevrolet Beat LT,Kochi,2012,83381,Petrol,Manual,First,18.6,1199,79.4,5,2.21
1864,Ford,Ford EcoSport 1.5,Kochi,2017,78526,Diesel,Manual,First,23.0,1498,98.96,5,8.09
1865,BMW,BMW 5 Series,Coimbatore,2017,27313,Diesel,Automatic,First,14.69,2993,258.0,5,48.63
1866,Audi,Audi Q5 30,Coimbatore,2015,42747,Diesel,Automatic,Second,14.16,1968,174.3,5,39.47
1867,BMW,BMW X1 sDrive,Coimbatore,2015,42265,Diesel,Automatic,Second,20.68,1995,190.0,5,22.24
1868,Hyundai,Hyundai i10 Magna,Mumbai,2009,21000,Petrol,Automatic,First,19.2,1197,80.0,5,2.6
1869,Hyundai,Hyundai Creta 1.6,Ahmedabad,2016,55100,Diesel,Automatic,First,17.01,1582,126.2,5,12.0
1870,Audi,Audi A4 2.0,Chennai,2014,70000,Diesel,Automatic,First,17.11,1968,174.33,5,18.0
1871,Mercedes-Benz,Mercedes-Benz S Class,Mumbai,2007,55000,Petrol,Automatic,Third,10.13,3498,364.9,5,9.99
1872,Hyundai,Hyundai i10 Magna,Kolkata,2012,58235,Petrol,Manual,First,20.36,1197,78.9,5,2.45
1873,Ford,Ford EcoSport 1.5,Mumbai,2017,26000,Diesel,Manual,First,23.0,1498,98.96,5,8.99
1874,Volkswagen,Volkswagen Vento ,Kolkata,2011,35000,Diesel,Manual,First,20.54,1598,103.6,5,3.15
1875,Maruti,Maruti Dzire ZDI,Jaipur,2017,24000,Diesel,Manual,First,28.4,1248,73.75,5,8.2
1876,Mahindra,Mahindra Scorpio 1.99,Ahmedabad,2016,98000,Diesel,Manual,First,15.4,1997,120.0,7,11.5
1877,Hyundai,Hyundai i20 Asta,Coimbatore,2016,44487,Diesel,Manual,First,22.54,1396,88.73,5,7.3
1878,Maruti,Maruti Alto LXi,Chennai,2008,65000,Petrol,Manual,First,19.7,796,46.3,5,1.59
1879,Hyundai,Hyundai i10 Magna,Delhi,2015,34951,Petrol,Manual,Second,20.36,1197,78.9,5,3.15
1880,Mahindra,Mahindra Scorpio S6,Kolkata,2015,52373,Diesel,Manual,Second,15.4,2179,120.0,7,8.5
1881,Skoda,Skoda Fabia 1.2L,Hyderabad,2010,66285,Diesel,Manual,First,19.5,1199,75.0,5,3.0
1882,BMW,BMW X5 xDrive,Mumbai,2012,66000,Diesel,Automatic,First,15.3,2993,258.0,5,21.0
1883,Honda,Honda Jazz 1.5,Hyderabad,2016,43000,Diesel,Manual,First,27.3,1498,98.6,5,7.75
1884,Mercedes-Benz,Mercedes-Benz E-Class 2009-2013,Mumbai,2013,45200,Diesel,Automatic,First,10.0,2148,170.0,5,23.0
